Company name,Image path,Top-left coord,Bottom-Right coord,Cookies ?
Chsinc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\chsinc.png,"(31, 1011)","(1039, 1031)",True
Chubb,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\chubb.png,-,-,False
Cib,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cib.png,-,-,False
Cigna,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cigna.png,-,-,False
Cisco,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cisco.png,-,-,False
Citigroup,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\citigroup.png,"(353, 893)","(637, 913)",True
Ckh,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ckh.png,-,-,False
Cma-cgm,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cma-cgm.png,-,-,False
Cmbc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cmbc.png,-,-,False
Cmbchina,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cmbchina.png,-,-,False
Cnaf,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cnaf.png,-,-,False
Cnbm,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cnbm.png,-,-,False
Cnnc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cnnc.png,-,-,False
Cnooc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cnooc.png,-,-,False
Cnpc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cnpc.png,-,-,False
Cntaiping,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cntaiping.png,-,-,False
Coca-colacompany,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\coca-colacompany.png,"(668, 305)","(1178, 330)",True
Cofco,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cofco.png,-,-,False
