Name,Image-path,Result,Pattern list
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cnnc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cnnc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cnooc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cnooc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cnpc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cnpc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cntaiping,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cntaiping.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/coca-colacompany,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/coca-colacompany.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cofco,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cofco.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/colesgroup,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/colesgroup.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/comcastcorporation,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/comcastcorporation.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/compal,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/compal.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/conocophillips,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/conocophillips.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/continental,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/continental.png,True,['Unknown']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/coop,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/coop.png,True,['Unknown']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/coscoshipping,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/coscoshipping.png,False,[]
