Company name,Image path,Top-left coord,Bottom-Right coord
Cintas,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cintas.png,"(31, 995)","(1023, 1011)"
Cisco,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cisco.png,"(19, 963)","(583, 981)"
Citigroup,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\citigroup.png,"(353, 893)","(637, 913)"
Cmc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cmc.png,"(389, 877)","(587, 893)"
Coca-colacompany,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\coca-colacompany.png,"(668, 305)","(1178, 330)"
Cognizant,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\cognizant.png,"(31, 33)","(209, 49)"
Colgatepalmolive,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\colgatepalmolive.png,"(741, 219)","(1163, 237)"
Commscope,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\commscope.png,"(31, 1019)","(673, 1037)"
Conagrabrands,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\conagrabrands.png,"(33, 1030)","(233, 1049)"
Constellationenergy,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\constellationenergy.png,"(31, 1030)","(761, 1049)"
Corning,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\corning.png,"(31, 1001)","(211, 1021)"
Corporate,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\corporate.png,"(359, 1036)","(525, 1054)"
Corteva,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\corteva.png,"(261, 921)","(395, 941)"
Crowncork,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\crowncork.png,"(311, 855)","(695, 875)"
Dana,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\dana.png,"(775, 297)","(1109, 315)"
Danaher,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\danaher.png,"(663, 151)","(827, 165)"
Davita,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\davita.png,"(383, 1015)","(987, 1033)"
Deere,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\deere.png,"(1128, 876)","(1494, 900)"
Dell,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\dell.png,"(41, 697)","(317, 713)"
Dow,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\dow.png,"(662, 150)","(946, 176)"
Dupont,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\dupont.png,"(551, 49)","(789, 69)"
Eastman,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\eastman.png,"(219, 999)","(1239, 1017)"
Ebay,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ebay.png,"(326, 876)","(1580, 900)"
Elcompanies,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\elcompanies.png,"(129, 907)","(827, 925)"
Emcorgroup,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\emcorgroup.png,"(673, 1003)","(1231, 1023)"
Emerson,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\emerson.png,"(663, 151)","(1063, 167)"
Energytransfer,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\energytransfer.png,"(1267, 1035)","(1365, 1053)"
Expeditors,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\expeditors.png,"(540, 866)","(902, 894)"
Exxonmobil,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\exxonmobil.png,"(663, 151)","(811, 165)"
Facebook,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\facebook.png,"(625, 212)","(1265, 250)"
Fanniemae,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\fanniemae.png,"(31, 1021)","(163, 1035)"
